Город;Площадь территории1),  тыс. км2;Численность   населения  на 1 января  2023 г., тыс. человек;Среднегодовая численность занятых2),  тыс. человек;Средне- душевые денежные доходы  (в месяц), руб.;Потреби- тельские расходы в среднем  на душу населения  (в месяц), руб. ;Среднемесячная  номинальная начисленная  заработная плата работников организаций, руб.      ;Валовой  региональ- ный  продукт  в 2021 г. , млрд руб.;Инвестиции  в основной  капитал3),  млрд руб.;"Основные  фонды  в экономике  (по полной учетной стоимости;  на конец года)4), млрд руб.";Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности,  млрд руб.;;;;Продукция  сельского  хозяйства -  всего, млрд руб.;в том числе;;Ввод  в действие  жилых домов, тыс. м2  общей  площади  жилых  помещений;Оборот  розничной  торговли,  млрд руб.           ;Сальдированный финансовый результат (прибыль минус убыток) деятельности организаций5),  млрд руб.
Республика Хакасия;61,6;530,2;233,3;28 963,0;24 919,0;54 522,0;308,0;48,2;931,0;150,9;163,1;57,5;2,6;18,2;6,2;12,0;321,0;109,4;61,3
Алтайский край;168,0;2 130,9;1 077,2;31 145,0;25 062,0;39 270,0;845,0;145,9;2 567,0;13,2;557,2;50,4;13,2;249,4;173,1;76,3;923,3;469,2;88,6
Красноярский край;2 366,8;2 845,5;1 380,8;41 782,0;31 564,0;71 728,0;3 065,0;747,8;7 516,0;1 003,4;1 738,1;230,9;43,6;130,5;70,9;59,6;1 396,5;693,9;763,2
Иркутская область;774,8;2 344,4;1 098,4;35 040,0;26 644,0;64 635,0;1 924,0;833,7;5 222,0;960,3;750,2;166,5;25,1;80,4;31,6;48,8;1 251,3;524,3;323,1
Кемеровская область;95,7;2 568,2;1 157,8;32 627,0;24 686,0;57 653,0;1 807,0;365,6;4 784,0;1 805,4;919,3;121,7;95,2;84,7;47,6;37,1;790,2;521,9;707,2
Новосибирская область ;177,8;2 794,3;1 307,5;39 845,0;32 658,0;53 757,0;1 617,0;322,4;5 523,0;130,9;824,5;84,6;29,9;155,3;75,3;80,0;2 243,5;782,6;253,9
Омская область;141,1;1 832,1;868,1;34 747,0;28 006,0;46 952,0;854,0;191,4;2 459,0;3,6;506,6;62,5;18,2;127,8;73,2;54,6;693,4;429,8;60,4
Томская область;314,4;1 052,1;498,5;34 766,0;27 218,0;57 879,0;706,0;119,8;2 438,0;211,3;285,1;40,6;10,1;44,3;14,9;29,4;364,1;235,8;60,1
Дальневосточный  федеральный округ;6 952,6;7 903,9;3 926,1;48 613,0;37 802,0;74 799,0;7 374,0;2 512,4;26 719,0;3 341,4;1 499,6;438,1;83,2;294,4;167,7;126,7;3 567,4;2 422,7;416,2
Республика Бурятия;351,3;974,6;366,2;32 823,0;27 957,0;53 495,0;342,0;106,1;1 342,0;79,5;142,3;30,5;5,3;20,7;7,0;13,7;291,8;241,8;84,4
Республика Саха (Якутия);3 083,5;997,6;509,2;57 715,0;41 009,0;96 728,0;1 616,0;616,3;5 173,0;1 619,4;43,4;81,3;9,3;31,1;10,2;20,9;583,9;316,4;279,7
Забайкальский край;431,9;992,4;446,3;36 183,0;27 644,0;59 413,0;487,0;182,1;1 888,0;243,0;37,4;33,1;5,0;27,9;7,1;20,8;283,2;228,3;59,0
Камчатский край;464,3;288,7;164,5;70 769,0;44 431,0;103 540,0;338,0;90,9;1 073,0;30,5;155,7;25,7;4,2;11,0;4,6;6,4;67,4;86,8;22,8
Приморский край;164,7;1 820,1;928,3;45 834,0;39 421,0;63 589,0;1 309,0;327,9;5 665,0;32,2;284,4;82,8;13,1;69,5;41,9;27,6;1 043,9;587,6;99,8
Хабаровский край ;787,6;1 284,1;669,8;49 523,0;42 352,0;65 897,0;987,0;264,7;3 750,0;70,1;429,7;69,2;34,1;19,0;11,1;7,9;374,1;429,5;43,9
Амурская область;361,9;756,2;383,1;44 900,0;35 974,0;65 864,0;531,0;464,1;2 729,0;105,2;56,5;47,5;4,0;85,9;67,8;18,1;378,6;245,6;-638,5
Магаданская область;462,5;134,3;86,7;94 060,0;45 948,0;121 462,0;315,0;89,6;631,0;44,7;194,4;19,7;1,6;3,0;2,1;0,9;11,5;45,9;48,7
Сахалинская область;87,1;460,6;275,7;73 820,0;54 031,0;102 684,0;1 234,0;269,3;3 750,0;1 073,2;84,4;25,0;4,8;17,3;10,0;7,3;504,1;195,0;391,7
Еврейская автономная  область;36,3;147,5;62,7;35 493,0;27 496,0;56 957,0;79,0;20,1;381,0;21,3;9,4;5,5;1,0;7,0;5,6;1,4;25,3;32,4;5,7
Чукотский автономный  округ;721,5;47,8;33,5;114 456,0;39 428,0;140 602,0;136,0;81,3;337,0;22,3;61,9;17,8;0,7;1,9;0,2;1,7;3,5;13,5;19,0
1) По данным Федеральной службы государственной регистрации, кадастра и картографии на 1 января 2023 г.;;;;;;;;;;;;;;;;;;;
2) Данные публикуются без учета итогов Всероссийской переписи населения 2020 г. (далее – ВПН-2020).;;;;;;;;;;;;;;;;;;;
3) По данным текущей отчетности.;;;;;;;;;;;;;;;;;;;
4) С учетом переоценки, проведенной организациями на конец отчетного года.;;;;;;;;;;;;;;;;;;;
5) По данным бухгалтерской отчетности. Знак (-) означает убыток.;;;;;;;;;;;;;;;;;;;
6) Включая уточнение на федеральном уровне объема инвестиций, не наблюдаемых прямыми статистическими методами, без распределения по субъектам  Российской Федерации.;;;;;;;;;;;;;;;;;;;
7) Данные не публикуются в целях обеспечения конфиденциальности первичных статистических данных, полученных от организаций, в соответствии с Федеральным законом от 29 ноября 2007 г. № 282-ФЗ «Об официальном статистическом учете и системе государственной статистики в Российской Федерации» (п. 5 ст. 4, ч. 1 ст.9).;;;;;;;;;;;;;;;;;;;
